anio,mes,producto,unidad,usd,usd_kg
2013,Enero,Yuca Bolona Blanca,Funda aprox. 150 lb,13.4,0.2
2013,Febrero,Arroz Cáscara,Saca aprox. 200 lb,35.98,0.4
2013,Febrero,Arveja Tierna en Vaina,Bulto aprox. 110 lb,17.94,0.36
2013,Febrero,Banano Cavendish Enano,Caja aprox. 43 lb,9.25,0.47
2013,Febrero,Banano Cavendish Spot,Caja aprox. 43 lb,6.22,0.32
2013,Febrero,Brócoli,Kilogramo,0.25,0.25
2013,Febrero,Cacao CCN51 Almendra Seca,Quintal,83.25,1.83
2013,Febrero,Cacao Fino de Aroma Almendra Seca,Quintal,84.5,1.86
2013,Febrero,Café Arábigo Bola,Quintal,126.41,2.78
2013,Febrero,Café Robusta Cereza,Quintal,16.19,0.36
2013,Febrero,Caña de Azúcar Tallo Fresco,Tonelada Métrica,29.03,0.03
2013,Febrero,Cerdo en Pie para Faenamiento,Libra,0.8,1.78
2013,Febrero,Fréjol Rojo Seco,Quintal,80.0,1.76
2013,Febrero,Fréjol Rojo Tierno en Vaina,Bulto aprox. 110 lb,23.31,0.47
2013,Febrero,Frutilla,Caja de 10 lb,4.4,0.97
2013,Febrero,Huevo Mediano,Cubeta de 30 huevos,2.4,
2013,Febrero,Leche Cruda,Litro,0.39,
2013,Febrero,Limón,Saco aprox. 80 lb,11.0,0.3
2013,Febrero,Maíz Duro Seco,Quintal,20.01,0.44
2013,Febrero,Maíz Suave Choclo,Bulto aprox. 110 lb,14.79,0.3
2013,Febrero,Maracuyá,Kilogramo,0.43,0.43
2013,Febrero,Naranjilla Híbrida,Caja aprox. 35 lb,8.05,0.51
2013,Febrero,Naranjilla Jugo,Caja aprox. 35 lb,13.0,0.82
2013,Febrero,Palma de Aceite,Tonelada Métrica,133.35,0.13
2013,Febrero,Palmito,Tallo aprox. 3 lb,0.29,0.21
2013,Febrero,Panela en Bloque,Quintal,35.0,0.77
2013,Febrero,Panela Granulada,Quintal,40.0,0.88
2013,Febrero,Papa Superchola,Quintal,9.19,0.2
2013,Febrero,Pimiento,Saco aprox. 80 lb,15.6,0.43
2013,Febrero,Piña MD-2,Kilogramo,0.36,0.36
2013,Febrero,Pitahaya,Kilogramo,1.2,1.2
2013,Febrero,Plátano Barraganete,Racimo aprox. 50 lb,6.82,0.3
2013,Febrero,Plátano Barraganete de Exportación,Caja aprox. 50 lb,5.41,0.24
2013,Febrero,Pollo en Pie,Libra,0.85,1.9
2013,Febrero,Tomate de Árbol,Saco aprox. 80 lb,28.53,0.78
2013,Febrero,Tomate Riñón a Campo Abierto,Caja aprox. 35 lb,6.88,0.43
2013,Febrero,Tomate Riñón de Invernadero,Caja aprox. 35 lb,9.0,0.57
2013,Febrero,Trigo,Quintal,20.67,0.45
2013,Febrero,Yuca Amarga,Funda aprox. 150 lb,14.0,0.21
2013,Febrero,Yuca Bolona Blanca,Funda aprox. 150 lb,13.25,0.19
2013,Marzo,Arroz Cáscara,Saca aprox. 200 lb,36.29,0.4
2013,Marzo,Arveja Tierna en Vaina,Bulto aprox. 110 lb,29.44,0.59
2013,Marzo,Banano Cavendish Enano,Caja aprox. 43 lb,9.25,0.47
2013,Marzo,Banano Cavendish Spot,Caja aprox. 43 lb,5.84,0.3
2013,Marzo,Brócoli,Kilogramo,0.25,0.25
2013,Marzo,Cacao CCN51 Almendra Seca,Quintal,82.8,1.82
2013,Marzo,Cacao Fino de Aroma Almendra Seca,Quintal,83.23,1.83
2013,Marzo,Café Arábigo Bola,Quintal,140.5,3.09
2013,Marzo,Café Robusta Cereza,Quintal,16.13,0.35
2013,Marzo,Cebolla Colorada Seca y Limpia de Primera,Quintal,20.0,0.44
2013,Marzo,Cerdo en Pie para Faenamiento,Libra,0.83,1.85
2013,Marzo,Fréjol Amarillo Seco,Quintal,200.0,4.4
2013,Marzo,Fréjol Rojo Tierno en Vaina,Bulto aprox. 110 lb,29.3,0.59
2013,Marzo,Frutilla,Caja de 10 lb,4.42,0.97
2013,Marzo,Haba Tierna en Vaina,Libra,0.5,1.11
2013,Marzo,Huevo Mediano,Cubeta de 30 huevos,2.4,
2013,Marzo,Leche Cruda,Litro,0.39,
2013,Marzo,Limón,Saco aprox. 80 lb,8.0,0.22
2013,Marzo,Maíz Duro Seco,Quintal,20.33,0.45
2013,Marzo,Maíz Suave Choclo,Bulto aprox. 110 lb,16.0,0.32
2013,Marzo,Maracuyá,Kilogramo,0.42,0.42
2013,Marzo,Naranjilla Híbrida,Caja aprox. 35 lb,7.56,0.48
2013,Marzo,Naranjilla Jugo,Caja aprox. 35 lb,13.25,0.83
2013,Marzo,Palma de Aceite,Tonelada Métrica,138.5,0.14
2013,Marzo,Palmito,Tallo aprox. 3 lb,0.27,0.2
2013,Marzo,Panela en Bloque,Quintal,36.0,0.79
2013,Marzo,Panela Granulada,Quintal,36.0,0.79
2013,Marzo,Papa Superchola,Quintal,8.26,0.18
2013,Marzo,Pimiento,Saco aprox. 80 lb,14.5,0.4
2013,Marzo,Piña MD-2,Kilogramo,0.38,0.38
2013,Marzo,Piña Nacional,Kilogramo,0.3,0.3
2013,Marzo,Plátano Barraganete de Exportación,Caja aprox. 50 lb,7.0,0.31
2013,Marzo,Plátano Dominico,Racimo aprox. 50 lb,4.38,0.19
2013,Marzo,Pollo en Pie,Libra,0.89,1.97
2013,Marzo,Tomate de Árbol,Saco aprox. 80 lb,31.59,0.87
2013,Marzo,Tomate Riñón a Campo Abierto,Caja aprox. 35 lb,6.63,0.42
2013,Marzo,Tomate Riñón de Invernadero,Caja aprox. 35 lb,9.0,0.57
2013,Marzo,Trigo,Quintal,20.67,0.45
2013,Marzo,Yuca Amarga,Funda aprox. 150 lb,14.5,0.21
2013,Marzo,Yuca Bolona Blanca,Funda aprox. 150 lb,15.0,0.22
2013,Abril,Arroz Cáscara,Saca aprox. 200 lb,34.29,0.38
2013,Abril,Arveja Tierna en Vaina,Bulto aprox. 110 lb,30.68,0.61
2013,Abril,Banano Cavendish Enano,Caja aprox. 43 lb,9.25,0.47
2013,Abril,Banano Cavendish Spot,Caja aprox. 43 lb,6.22,0.32
2013,Abril,Brócoli,Kilogramo,0.25,0.25
2013,Abril,Cacao CCN51 Almendra Seca,Quintal,84.23,1.85
2013,Abril,Cacao Fino de Aroma Almendra Seca,Quintal,85.3,1.88
2013,Abril,Café Arábigo Bola,Quintal,136.58,3.01
2013,Abril,Café Robusta Cereza,Quintal,16.15,0.36
2013,Abril,Cebolla Colorada Seca y Limpia de Primera,Quintal,13.35,0.29
2013,Abril,Cerdo en Pie para Faenamiento,Libra,0.81,1.81
2013,Abril,Fréjol Amarillo Seco,Quintal,191.67,4.22
2013,Abril,Fréjol Rojo Seco,Quintal,63.75,1.4
2013,Abril,Fréjol Rojo Tierno en Vaina,Bulto aprox. 110 lb,30.02,0.6
2013,Abril,Frutilla,Caja de 10 lb,4.5,0.99
2013,Abril,Haba Tierna en Vaina,Libra,0.5,1.11
2013,Abril,Huevo Mediano,Cubeta de 30 huevos,3.0,
2013,Abril,Leche Cruda,Litro,0.39,
2013,Abril,Limón,Saco aprox. 80 lb,8.0,0.22
2013,Abril,Maíz Duro Seco,Quintal,15.67,0.34
2013,Abril,Maíz Suave Choclo,Bulto aprox. 110 lb,16.47,0.33
2013,Abril,Maracuyá,Kilogramo,0.43,0.43
2013,Abril,Naranjilla Híbrida,Caja aprox. 35 lb,7.23,0.45
2013,Abril,Naranjilla Jugo,Caja aprox. 35 lb,11.33,0.71
2013,Abril,Palma de Aceite,Tonelada Métrica,134.66,0.13
2013,Abril,Palmito,Tallo aprox. 3 lb,0.26,0.19
2013,Abril,Panela en Bloque,Quintal,36.0,0.79
2013,Abril,Panela Granulada,Quintal,38.94,0.86
2013,Abril,Papa Superchola,Quintal,7.34,0.16
2013,Abril,Pimiento,Saco aprox. 80 lb,17.14,0.47
2013,Abril,Piña MD-2,Kilogramo,0.4,0.4
2013,Abril,Piña Nacional,Kilogramo,0.24,0.24
2013,Abril,Plátano Barraganete,Racimo aprox. 50 lb,4.55,0.2
2013,Abril,Plátano Barraganete de Exportación,Caja aprox. 50 lb,7.0,0.31
2013,Abril,Plátano Dominico,Racimo aprox. 50 lb,1.88,0.08
2013,Abril,Pollo en Pie,Libra,0.93,2.07
2013,Abril,Tomate de Árbol,Saco aprox. 80 lb,28.06,0.77
2013,Abril,Tomate Riñón a Campo Abierto,Caja aprox. 35 lb,9.0,0.57
2013,Abril,Tomate Riñón de Invernadero,Caja aprox. 35 lb,12.35,0.78
2013,Abril,Trigo,Quintal,20.67,0.45
2013,Abril,Yuca Amarga,Funda aprox. 150 lb,14.0,0.21
2013,Abril,Yuca Bolona Blanca,Funda aprox. 150 lb,12.73,0.19
2013,Mayo,Arroz Cáscara,Saca aprox. 200 lb,31.53,0.35
2013,Mayo,Arveja Tierna en Vaina,Bulto aprox. 110 lb,35.28,0.71
2013,Mayo,Banano Cavendish Enano,Caja aprox. 43 lb,9.63,0.49
2013,Mayo,Banano Cavendish Spot,Caja aprox. 43 lb,6.22,0.32
2013,Mayo,Brócoli,Kilogramo,0.25,0.25
2013,Mayo,Cacao CCN51 Almendra Seca,Quintal,88.89,1.96
2013,Mayo,Cacao Fino de Aroma Almendra Seca,Quintal,84.18,1.85
2013,Mayo,Café Arábigo Bola,Quintal,141.59,3.12
2013,Mayo,Café Robusta Cereza,Quintal,16.13,0.35
2013,Mayo,Caña de Azúcar Tallo Fresco,Tonelada Métrica,27.33,0.03
2013,Mayo,Cebolla Colorada Seca y Limpia de Primera,Quintal,21.8,0.48
2013,Mayo,Cerdo en Pie para Faenamiento,Libra,0.85,1.88
2013,Mayo,Fréjol Amarillo Seco,Quintal,216.67,4.77
2013,Mayo,Fréjol Rojo Seco,Quintal,62.73,1.38
2013,Mayo,Fréjol Rojo Tierno en Vaina,Bulto aprox. 110 lb,33.26,0.67
2013,Mayo,Frutilla,Caja de 10 lb,4.5,0.99
2013,Mayo,Huevo Mediano,Cubeta de 30 huevos,3.0,
2013,Mayo,Leche Cruda,Litro,0.39,
2013,Mayo,Limón,Saco aprox. 80 lb,9.25,0.25
2013,Mayo,Maíz Duro Seco,Quintal,15.06,0.33
2013,Mayo,Maíz Suave Choclo,Bulto aprox. 110 lb,13.75,0.28
2013,Mayo,Maracuyá,Kilogramo,0.48,0.48
2013,Mayo,Naranjilla Híbrida,Caja aprox. 35 lb,7.18,0.45
2013,Mayo,Naranjilla Jugo,Caja aprox. 35 lb,11.5,0.72
2013,Mayo,Palma de Aceite,Tonelada Métrica,136.41,0.14
2013,Mayo,Palmito,Tallo aprox. 3 lb,0.27,0.2
2013,Mayo,Panela en Bloque,Quintal,36.0,0.79
2013,Mayo,Panela Granulada,Quintal,30.18,0.66
2013,Mayo,Papa Superchola,Quintal,8.11,0.18
2013,Mayo,Pimiento,Saco aprox. 80 lb,17.2,0.47
2013,Mayo,Piña MD-2,Kilogramo,0.39,0.39
2013,Mayo,Piña Nacional,Kilogramo,0.34,0.34
2013,Mayo,Plátano Barraganete,Racimo aprox. 50 lb,2.27,0.1
2013,Mayo,Plátano Barraganete de Exportación,Caja aprox. 50 lb,7.0,0.31
2013,Mayo,Plátano Dominico,Racimo aprox. 50 lb,1.56,0.07
2013,Mayo,Pollo en Pie,Libra,0.91,2.03
2013,Mayo,Tomate de Árbol,Saco aprox. 80 lb,26.07,0.72
2013,Mayo,Tomate Riñón a Campo Abierto,Caja aprox. 35 lb,13.7,0.86
2013,Mayo,Tomate Riñón de Invernadero,Caja aprox. 35 lb,13.7,0.86
2013,Mayo,Trigo,Quintal,20.67,0.45
2013,Mayo,Yuca Amarga,Funda aprox. 150 lb,13.0,0.19
2013,Mayo,Yuca Bolona Blanca,Funda aprox. 150 lb,12.3,0.18
2013,Junio,Arroz Cáscara,Saca aprox. 200 lb,30.94,0.34
2013,Junio,Arveja Tierna en Vaina,Bulto aprox. 110 lb,39.09,0.78
2013,Junio,Banano Cavendish Enano,Caja aprox. 43 lb,10.0,0.51
2013,Junio,Banano Cavendish Spot,Caja aprox. 43 lb,4.48,0.23
2013,Junio,Brócoli,Kilogramo,0.25,0.25
2013,Junio,Cacao CCN51 Almendra Seca,Quintal,88.57,1.95
2013,Junio,Cacao Fino de Aroma Almendra Seca,Quintal,89.9,1.98
2013,Junio,Café Arábigo Bola,Quintal,115.71,2.55
2013,Junio,Café Robusta Cereza,Quintal,14.86,0.33
2013,Junio,Caña de Azúcar Tallo Fresco,Tonelada Métrica,27.0,0.03
2013,Junio,Cebolla Colorada Seca y Limpia de Primera,Quintal,14.83,0.33
2013,Junio,Cerdo en Pie para Faenamiento,Libra,0.92,2.05
2013,Junio,Fréjol Amarillo Seco,Quintal,166.67,3.67
2013,Junio,Fréjol Rojo Seco,Quintal,67.5,1.49
2013,Junio,Fréjol Rojo Tierno en Vaina,Bulto aprox. 110 lb,34.5,0.69
2013,Junio,Frutilla,Caja de 10 lb,4.5,0.99
2013,Junio,Huevo Mediano,Cubeta de 30 huevos,2.7,
2013,Junio,Leche Cruda,Litro,0.39,
2013,Junio,Limón,Saco aprox. 80 lb,13.25,0.36
2013,Junio,Maíz Duro Seco,Quintal,15.19,0.33
2013,Junio,Maíz Suave Choclo,Bulto aprox. 110 lb,14.86,0.3
2013,Junio,Maracuyá,Kilogramo,0.46,0.46
2013,Junio,Naranjilla Híbrida,Caja aprox. 35 lb,8.42,0.53
2013,Junio,Naranjilla Jugo,Caja aprox. 35 lb,18.75,1.18
2013,Junio,Palma de Aceite,Tonelada Métrica,134.46,0.13
2013,Junio,Palmito,Tallo aprox. 3 lb,0.28,0.21
2013,Junio,Panela en Bloque,Quintal,35.0,0.77
2013,Junio,Panela Granulada,Quintal,47.5,1.05
2013,Junio,Papa Superchola,Quintal,9.39,0.21
2013,Junio,Pimiento,Saco aprox. 80 lb,24.75,0.68
2013,Junio,Piña MD-2,Kilogramo,0.37,0.37
2013,Junio,Piña Nacional,Kilogramo,0.3,0.3
2013,Junio,Pitahaya,Kilogramo,3.5,3.5
2013,Junio,Plátano Barraganete,Racimo aprox. 50 lb,3.61,0.16
2013,Junio,Plátano Barraganete de Exportación,Caja aprox. 50 lb,3.83,0.17
2013,Junio,Plátano Dominico,Racimo aprox. 50 lb,1.54,0.07
2013,Junio,Pollo en Pie,Libra,0.88,1.95
2013,Junio,Tomate de Árbol,Saco aprox. 80 lb,24.58,0.68
2013,Junio,Tomate Riñón de Invernadero,Caja aprox. 35 lb,13.0,0.82
2013,Junio,Trigo,Quintal,22.0,0.48
2013,Junio,Yuca Bolona Blanca,Funda aprox. 150 lb,11.29,0.17
2013,Julio,Arroz Cáscara,Saca aprox. 200 lb,35.42,0.39
2013,Julio,Arveja Tierna en Vaina,Bulto aprox. 110 lb,37.11,0.74
2013,Julio,Banano Cavendish Spot,Caja aprox. 43 lb,5.8,0.3
2013,Julio,Brócoli,Kilogramo,0.25,0.25
2013,Julio,Cacao CCN51 Almendra Seca,Quintal,85.73,1.89
2013,Julio,Cacao Fino de Aroma Almendra Seca,Quintal,89.48,1.97
2013,Julio,Café Arábigo Bola,Quintal,117.25,2.58
2013,Julio,Café Robusta Cereza,Quintal,13.11,0.29
2013,Julio,Caña de Azúcar Tallo Fresco,Tonelada Métrica,28.95,0.03
2013,Julio,Cebolla Colorada Seca y Limpia de Primera,Quintal,9.08,0.2
2013,Julio,Cebolla Perla Seca y Limpia de Primera,Quintal,11.21,0.25
2013,Julio,Cerdo en Pie para Faenamiento,Libra,0.97,2.16
2013,Julio,Fréjol Amarillo Seco,Quintal,222.17,4.89
2013,Julio,Fréjol Rojo Tierno en Vaina,Bulto aprox. 110 lb,19.95,0.4
2013,Julio,Frutilla,Caja de 10 lb,14.5,3.19
2013,Julio,Huevo Mediano,Cubeta de 30 huevos,2.64,
2013,Julio,Leche Cruda,Litro,0.4,
2013,Julio,Limón,Saco aprox. 80 lb,32.5,0.89
2013,Julio,Maíz Duro Seco,Quintal,14.68,0.32
2013,Julio,Maíz Suave Choclo,Bulto aprox. 110 lb,11.47,0.23
2013,Julio,Maracuyá,Kilogramo,0.49,0.49
2013,Julio,Naranjilla Híbrida,Caja aprox. 35 lb,9.59,0.6
2013,Julio,Naranjilla Jugo,Caja aprox. 35 lb,16.59,1.04
2013,Julio,Palma de Aceite,Tonelada Métrica,136.6,0.14
2013,Julio,Palmito,Tallo aprox. 3 lb,0.27,0.2
2013,Julio,Panela en Bloque,Quintal,26.99,0.59
2013,Julio,Panela Granulada,Quintal,41.63,0.92
2013,Julio,Papa Superchola,Quintal,10.61,0.23
2013,Julio,Pimiento,Saco aprox. 80 lb,15.15,0.42
2013,Julio,Piña MD-2,Kilogramo,0.33,0.33
2013,Julio,Plátano Barraganete,Racimo aprox. 50 lb,2.99,0.13
2013,Julio,Plátano Barraganete de Exportación,Caja aprox. 50 lb,4.38,0.19
2013,Julio,Plátano Dominico,Racimo aprox. 50 lb,4.23,0.19
2013,Julio,Pollo en Pie,Libra,0.77,1.71
2013,Julio,Tomate de Árbol,Saco aprox. 80 lb,19.36,0.53
2013,Julio,Tomate Riñón a Campo Abierto,Caja aprox. 35 lb,6.73,0.42
2013,Julio,Tomate Riñón de Invernadero,Caja aprox. 35 lb,10.33,0.65
2013,Julio,Trigo,Quintal,22.0,0.48
2013,Julio,Yuca Amarga,Funda aprox. 150 lb,10.64,0.16
2013,Julio,Yuca Bolona Blanca,Funda aprox. 150 lb,12.12,0.18
2013,Agosto,Arroz Cáscara,Saca aprox. 200 lb,35.38,0.39
2013,Agosto,Arveja Tierna en Vaina,Bulto aprox. 110 lb,34.12,0.68
2013,Agosto,Banano Cavendish Spot,Caja aprox. 43 lb,5.32,0.27
2013,Agosto,Brócoli,Kilogramo,0.25,0.25
2013,Agosto,Cacao CCN51 Almendra Seca,Quintal,88.03,1.94
2013,Agosto,Cacao Fino de Aroma Almendra Seca,Quintal,95.19,2.09
2013,Agosto,Café Arábigo Bola,Quintal,110.45,2.43
2013,Agosto,Café Robusta Cereza,Quintal,13.45,0.3
2013,Agosto,Cebolla Colorada Seca y Limpia de Primera,Quintal,4.61,0.1
2013,Agosto,Cebolla Perla Seca y Limpia de Primera,Quintal,10.91,0.24
2013,Agosto,Cerdo en Pie para Faenamiento,Libra,0.96,2.13
2013,Agosto,Fréjol Rojo Tierno en Vaina,Bulto aprox. 110 lb,26.58,0.53
2013,Agosto,Frutilla,Caja de 10 lb,15.0,3.3
2013,Agosto,Huevo Mediano,Cubeta de 30 huevos,2.64,
2013,Agosto,Leche Cruda,Litro,0.4,
2013,Agosto,Limón,Saco aprox. 80 lb,45.0,1.24
2013,Agosto,Maíz Duro Seco,Quintal,15.31,0.34
2013,Agosto,Maíz Suave Choclo,Bulto aprox. 110 lb,11.23,0.22
2013,Agosto,Maracuyá,Kilogramo,0.52,0.52
2013,Agosto,Naranjilla Híbrida,Caja aprox. 35 lb,8.48,0.53
2013,Agosto,Naranjilla Jugo,Caja aprox. 35 lb,12.59,0.79
2013,Agosto,Palma de Aceite,Tonelada Métrica,132.85,0.13
2013,Agosto,Palmito,Tallo aprox. 3 lb,0.27,0.2
2013,Agosto,Panela en Bloque,Quintal,27.4,0.6
2013,Agosto,Panela Granulada,Quintal,43.33,0.95
2013,Agosto,Papa Superchola,Quintal,9.63,0.21
2013,Agosto,Pimiento,Saco aprox. 80 lb,8.0,0.22
2013,Agosto,Piña MD-2,Kilogramo,0.33,0.33
2013,Agosto,Piña Nacional,Kilogramo,0.34,0.34
2013,Agosto,Pitahaya,Kilogramo,3.0,3.0
2013,Agosto,Plátano Barraganete,Racimo aprox. 50 lb,3.32,0.15
2013,Agosto,Plátano Barraganete de Exportación,Caja aprox. 50 lb,5.43,0.24
2013,Agosto,Plátano Dominico,Racimo aprox. 50 lb,3.0,0.13
2013,Agosto,Pollo en Pie,Libra,0.85,1.89
2013,Agosto,Tomate de Árbol,Saco aprox. 80 lb,18.91,0.52
2013,Agosto,Tomate Riñón a Campo Abierto,Caja aprox. 35 lb,6.26,0.39
2013,Agosto,Tomate Riñón de Invernadero,Caja aprox. 35 lb,6.93,0.44
2013,Agosto,Trigo,Quintal,21.89,0.48
2013,Agosto,Yuca Amarga,Funda aprox. 150 lb,8.85,0.13
2013,Agosto,Yuca Bolona Blanca,Funda aprox. 150 lb,11.8,0.17
2013,Septiembre,Arroz Cáscara,Saca aprox. 200 lb,30.94,0.34
2013,Septiembre,Arveja Tierna en Vaina,Bulto aprox. 110 lb,18.99,0.38
2013,Septiembre,Banano Cavendish Spot,Caja aprox. 43 lb,3.68,0.19
2013,Septiembre,Brócoli,Kilogramo,0.25,0.25
2013,Septiembre,Cacao CCN51 Almendra Seca,Quintal,94.73,2.08
2013,Septiembre,Cacao Fino de Aroma Almendra Seca,Quintal,95.31,2.1
2013,Septiembre,Café Arábigo Bola,Quintal,108.63,2.39
2013,Septiembre,Café Robusta Cereza,Quintal,13.62,0.3
2013,Septiembre,Caña de Azúcar Tallo Fresco,Tonelada Métrica,29.64,0.03
2013,Septiembre,Cebolla Colorada Seca y Limpia de Primera,Quintal,6.62,0.15
2013,Septiembre,Cebolla Perla Seca y Limpia de Primera,Quintal,12.42,0.27
2013,Septiembre,Cerdo en Pie para Faenamiento,Libra,0.98,2.18
2013,Septiembre,Fréjol Amarillo Seco,Quintal,99.86,2.2
2013,Septiembre,Fréjol Rojo Seco,Quintal,47.33,1.04
2013,Septiembre,Fréjol Rojo Tierno en Vaina,Bulto aprox. 110 lb,28.0,0.56
2013,Septiembre,Frutilla,Caja de 10 lb,3.5,0.77
2013,Septiembre,Huevo Mediano,Cubeta de 30 huevos,2.74,
2013,Septiembre,Leche Cruda,Litro,0.4,
2013,Septiembre,Limón,Saco aprox. 80 lb,47.5,1.31
2013,Septiembre,Maíz Duro Seco,Quintal,14.62,0.32
2013,Septiembre,Maíz Suave Choclo,Bulto aprox. 110 lb,13.83,0.28
2013,Septiembre,Maracuyá,Kilogramo,0.53,0.53
2013,Septiembre,Naranjilla Híbrida,Caja aprox. 35 lb,8.31,0.52
2013,Septiembre,Naranjilla Jugo,Caja aprox. 35 lb,12.5,0.79
2013,Septiembre,Palma de Aceite,Tonelada Métrica,140.77,0.14
2013,Septiembre,Palmito,Tallo aprox. 3 lb,0.27,0.2
2013,Septiembre,Panela en Bloque,Quintal,29.03,0.64
2013,Septiembre,Panela Granulada,Quintal,45.19,0.99
2013,Septiembre,Papa Superchola,Quintal,9.42,0.21
2013,Septiembre,Pimiento,Saco aprox. 80 lb,10.67,0.29
2013,Septiembre,Piña MD-2,Kilogramo,0.36,0.36
2013,Septiembre,Piña Nacional,Kilogramo,0.2,0.2
2013,Septiembre,Plátano Barraganete,Racimo aprox. 50 lb,3.29,0.14
2013,Septiembre,Plátano Barraganete de Exportación,Caja aprox. 50 lb,5.55,0.24
2013,Septiembre,Plátano Dominico,Racimo aprox. 50 lb,3.13,0.14
2013,Septiembre,Pollo en Pie,Libra,0.94,2.09
2013,Septiembre,Soya,Quintal,27.0,0.59
2013,Septiembre,Tomate de Árbol,Saco aprox. 80 lb,18.77,0.52
2013,Septiembre,Tomate Riñón a Campo Abierto,Caja aprox. 35 lb,6.6,0.41
2013,Septiembre,Tomate Riñón de Invernadero,Caja aprox. 35 lb,7.22,0.45
2013,Septiembre,Trigo,Quintal,19.75,0.43
2013,Septiembre,Yuca Amarga,Funda aprox. 150 lb,8.17,0.12
2013,Septiembre,Yuca Bolona Blanca,Funda aprox. 150 lb,15.0,0.22
2013,Octubre,Arroz Cáscara,Saca aprox. 200 lb,30.97,0.34
2013,Octubre,Arveja Tierna en Vaina,Bulto aprox. 110 lb,21.19,0.42
2013,Octubre,Banano Cavendish,Caja aprox. 43 lb,6.22,0.32
2013,Octubre,Banano Cavendish Spot,Caja aprox. 43 lb,6.22,0.32
2013,Octubre,Brócoli,Kilogramo,0.25,0.25
2013,Octubre,Cacao CCN51 Almendra Seca,Quintal,100.31,2.21
2013,Octubre,Cacao Fino de Aroma Almendra Seca,Quintal,101.25,2.23
2013,Octubre,Café Arábigo Bola,Quintal,100.37,2.21
2013,Octubre,Café Robusta Cereza,Quintal,13.26,0.29
2013,Octubre,Caña de Azúcar Tallo Fresco,Tonelada Métrica,29.82,0.03
2013,Octubre,Cebolla Colorada Seca y Limpia de Primera,Quintal,6.67,0.15
2013,Octubre,Cebolla Perla Seca y Limpia de Primera,Quintal,12.5,0.28
2013,Octubre,Cerdo en Pie para Faenamiento,Libra,1.03,2.29
2013,Octubre,Fréjol Rojo Tierno en Vaina,Bulto aprox. 110 lb,26.0,0.52
2013,Octubre,Frutilla,Caja de 10 lb,3.83,0.84
2013,Octubre,Huevo Mediano,Cubeta de 30 huevos,2.56,
2013,Octubre,Leche Cruda,Litro,0.42,
2013,Octubre,Limón,Saco aprox. 80 lb,41.25,1.13
2013,Octubre,Maíz Duro Seco,Quintal,15.4,0.34
2013,Octubre,Maíz Suave Choclo,Bulto aprox. 110 lb,15.06,0.3
2013,Octubre,Maracuyá,Kilogramo,0.59,0.59
2013,Octubre,Naranjilla Híbrida,Caja aprox. 35 lb,8.29,0.52
